"","Article_ID","Study_ID","veg","topdepth_cm","bottomdepth_cm","BD_estimated","yr_samp","lat","long"
"1144","DAVI2009",57,"cheatgrass",NA,NA,NA,"2005-2007",43.48333333,-119.7166667
"1145","PEAR1965",221,"sagebrush",NA,NA,NA,"1960-1961",43.8,-119.9
"1146","PEAR1965",222,"sagebrush",NA,NA,NA,"1960-1961",43.8,-119.9
"1147","RICK1985b",268,"cheatgrass",NA,NA,NA,"1969",46.5,-119.5
"1148","RICK1985b",269,"cheatgrass",NA,NA,NA,"1969",46.5,-119.5
"1149","SVEJ2001",291,"cheatgrass",NA,NA,NA,"1993",45.916,-119.45
"1150","SVEJ2001",293,"sagebrush",NA,NA,NA,"1993",45.916,-119.45
"1151","SVEJ2001",292,"cheatgrass",NA,NA,NA,"1994",45.916,-119.45
"1152","SVEJ2001",294,"sagebrush",NA,NA,NA,"1994",45.916,-119.45
"1153","SVEJ2001",295,"cheatgrass",NA,NA,NA,"1993",46.05,-119.43
"1154","SVEJ2001",297,"sagebrush",NA,NA,NA,"1993",46.05,-119.43
"1155","SVEJ2001",296,"cheatgrass",NA,NA,NA,"1994",46.05,-119.43
"1156","SVEJ2001",298,"sagebrush",NA,NA,NA,"1994",46.05,-119.43
"1157","SVEJ2001",299,"cheatgrass",NA,NA,NA,"1993",46.1,-119.36
"1158","SVEJ2001",301,"sagebrush",NA,NA,NA,"1993",46.1,-119.36
"1159","SVEJ2001",300,"cheatgrass",NA,NA,NA,"1994",46.1,-119.36
"1160","SVEJ2001",302,"sagebrush",NA,NA,NA,"1994",46.1,-119.36
"1161","WEST1972",314,"salt_desert",NA,NA,NA,"1968",43.52,-112.05
"1162","WEST1972",315,"salt_desert",NA,NA,NA,"1969",43.52,-112.05
"1163","WEST1972",316,"salt_desert",NA,NA,NA,"1970",43.52,-112.05
"1164","WEST1972",313,"sagebrush",NA,NA,NA,"1968",43.52,-112.05
"1165","BECH2007",2,"sagebrush",0,5,"yes","2003",42.853,-112.402
"1166","BECH2007",3,"sagebrush",5,10,"yes","2003",42.853,-112.402
"1167","DAVI2007",55,"sagebrush",0,15,"yes","2003",43.786,-119.9
"1168","DAVI2007",56,"sagebrush",0,15,"yes","2004",43.786,-119.9
"1169","DRIE1997",62,"sagebrush",NA,NA,NA,"1994",41.654,-105.556
"1170","DRIE1997",63,"salt-desert",NA,NA,NA,"1994",41.997,-107.404
"1171","RICK1985b",264,"sagebrush",NA,NA,NA,"1971-1974",46.551311,-119.489017
"1172","RICK1985b",265,"sagebrush",NA,NA,NA,"1972",46.551311,-119.489017
"1174","RICK1985b",266,"sagebrush",NA,NA,NA,"1973",46.551311,-119.489017
"1176","RICK1985b",267,"sagebrush",NA,NA,NA,"1974",46.551311,-119.489017
"1178","SHRE2008",271,"sagebrush",0,15,"no","2003",42.74,-108.04
"1180","SHRE2008",274,"sagebrush",0,15,"no","2003",42.74,-108.04
"1182","SHRE2008",272,"sagebrush",0,15,"no","2003",42.74,-108.04
"1184","SHRE2008",273,"sagebrush",0,15,"no","2003",42.74,-108.04
"1186","VAN2005",303,"sagebrush",0,16,"other","2002",41.897762,-111.508399
"1187","VAN2005",304,"sagebrush",16,31,"other","2002",41.897762,-111.508399
"1188","VAN2005",305,"sagebrush",31,42,"other","2002",41.897762,-111.508399
"1189","VAN2005",306,"sagebrush",42,61,"other","2002",41.897762,-111.508399
"1190","VAN2005",307,"sagebrush",61,82,"other","2002",41.897762,-111.508399
"1191","VAN2005",308,"sagebrush",82,129,"other","2002",41.897762,-111.508399
"1192","SAET2005",270,"cheatgrass",0,10,"yes","1999",40.28333333,-112.4666667
"1193","CLEA2010",52,"sagebrush",NA,NA,NA,"2005",41.36358,-107.355
"1194","CLEA2010",49,"sagebrush",NA,NA,NA,"2005",41.33139,-107.4011
"1195","CLEA2010",53,"sagebrush",NA,NA,NA,"2005",41.36358,-107.355
"1196","CLEA2010",50,"sagebrush",NA,NA,NA,"2005",41.33139,-107.4011
"1197","CLEA2010",54,"sagebrush",NA,NA,NA,"2005",41.36358,-107.355
"1198","CLEA2010",51,"sagebrush",NA,NA,NA,"2005",41.33139,-107.4011
"1199","GASC2015",64,"sagebrush",0,5,"yes","2009",41.68809,-107.9734
"1200","MCAB2017",145,"sagebrush",NA,NA,NA,"2014",43.602,-112.904
"1201","MCAB2017",146,"sagebrush",NA,NA,NA,"2014",43.602,-112.904
"1202","SORE2013",275,"sagebrush",10,15,"yes","2009",43,-112
"1203","SORE2013",277,"sagebrush",95,100,"yes","2009",43,-112
"1204","SORE2013",276,"sagebrush",10,15,"yes","2009",43,-112
"1205","SORE2013",278,"sagebrush",95,100,"yes","2009",43,-112
