"","site","yr_samp","BD_g_cm3","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID"
"136","Vernon Hills","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,106
"137","Vernon Hills","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,106
"138","Vernon Hills","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,106
"139","Vernon Hills","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,106
"140","Vernon Hills","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,106
"141","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"142","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"143","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"144","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"145","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"146","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"147","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"148","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"149","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"150","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"151","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"152","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"153","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"154","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"155","Vernon Hills","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,85
"156","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"157","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"158","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"159","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"160","Vernon Hills","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,92
"161","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"162","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"163","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"164","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"165","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"166","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"167","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"168","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"169","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"170","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"171","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"172","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"173","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"174","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"175","Simpson Springs","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,71
"176","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"177","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"178","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"179","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
"180","Simpson Springs","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"BLAN2006","AGBC_g_m2",NA,78
