"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",13.056,291,2004,"74","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",158.928,291,2004,"75","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",40.848,291,2004,"76","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",38.592,321,2004,"77","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",52.176,321,2004,"78","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",71.184,321,2004,"79","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",57.744,321,2004,"80","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",56.112,321,2004,"81","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",35.376,321,2004,"82","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",136.08,321,2004,"83","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",304.8,321,2004,"84","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",108.048,321,2004,"85","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",44.496,321,2004,"86","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",282.384,331,2004,"87","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",111.888,331,2004,"88","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",11.904,331,2004,"89","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",36.24,331,2004,"90","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",588,331,2004,"91","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",0.288,331,2004,"92","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",571.488,331,2004,"93","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
