"","site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1"
"104","Canyon Creek",10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",696.6,254,2006,"1023"
"105","Canyon Creek",0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",873.108,239,2006,"1024"
"106","Canyon Creek",0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",524.718,239,2006,"1025"
"107","Canyon Creek",0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",1207.278,239,2006,"1026"
"108","Canyon Creek",0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",1156.086,239,2006,"1027"
"109","Canyon Creek",0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",905.814,239,2006,"1028"
"110","Canyon Creek",10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",504.9,244,2006,"1029"
"111","Canyon Creek",10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",364.5,244,2006,"1030"
"112","Canyon Creek",10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",715.5,244,2006,"1031"
"113","Canyon Creek",10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",951.75,244,2006,"1032"
"114","Canyon Creek",10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",837,244,2006,"1033"
"115","cheatgrass_1",0,6,"no","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,6,"NORT2004","orgsoilC_g_m2",695.3117363,1159,2001,"1157"
"116","cheatgrass_1",0,5,"no","cheatgrass","Norton et al. 2004",41.892425,-112.2155141,5,"NORT2004","orgsoilC_g_m2",1595.243935,964,2001,"1159"
"117","cheatgrass_2",6,14.5,"no","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,8.5,"NORT2004","orgsoilC_g_m2",277.2652015,1164,2001,"1166"
"118","cheatgrass_2",5,20,"no","cheatgrass","Norton et al. 2004",41.892425,-112.2155141,15,"NORT2004","orgsoilC_g_m2",2899.629159,969,2001,"1168"
"119","cheatgrass_3",14.5,33,"no","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,18.5,"NORT2004","orgsoilC_g_m2",1686.67056,1169,2001,"1173"
"120","cheatgrass_3",20,30,"no","cheatgrass","Norton et al. 2004",41.892425,-112.2155141,10,"NORT2004","orgsoilC_g_m2",1923.475626,974,2001,"1175"
